COUNTRY,CITY,ZONE,ZONE_TYPE,ZONE_PRIORITIZATION,METRIC,L8W_ROLL,L7W_ROLL,L6W_ROLL,L5W_ROLL,L4W_ROLL,L3W_ROLL,L2W_ROLL,L1W_ROLL,L0W_ROLL
EC,Quito,San Martin de Porras,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.6023391813,0.5385964912,0.6577597841,0.7094017094,0.7815323565,0.7317582418,0.6764285714,0.6701373626,0.7355494505
BR,Bauru,FS Parque Jardim Europa/Vila Riachuelo - BAU,Non Wealthy,Not Prioritized,Restaurants SST > SS CVR,0.8575438596,0.9266666667,0.88,0.525,0.45,0.425,0.25,0.45,0.475
MX,Mexicali,MXL_Universidad,Wealthy,Prioritized,Retail SST > SS CVR,0.900823003,0.9042374139,0.9057656207,0.9009279618,0.8950188358,0.8889990909,0.8948017346,0.8977322756,0.8978641272
CL,Santiago De Chile,Colina,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.7989461025,0.7709193934,0.772060934,0.7846089121,0.7999618235,0.8044919025,0.7375076029,0.7339155049,0.7414572632
MX,Guadalajara,Valle Real,Wealthy,High Priority,Gross Profit UE,3.914477073,3.827933913,3.534115915,3.486583401,3.632155663,3.473549354,3.541963256,3.808373368,3.78053395
MX,Puebla,Angelopolis,Wealthy,High Priority,Gross Profit UE,2.247219063,1.835978023,1.42620442,0.7451513624,0.589795497,0.6748221733,1.060527956,1.51181153,1.329836515
BR,Juiz De Fora,MG - JDF - Juiz de Fora,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.9081674441,0.9024815988,0.9030912355,0.8971056961,0.9074102909,0.91435255,0.9227072705,0.9201421059,0.898541698
CO,Cartagena,Bocagrande,Wealthy,Prioritized,Retail SST > SS CVR,0.931753484,0.9320205239,0.9307421961,0.9311376291,0.9319066237,0.9444564523,0.9581266414,0.9692329135,0.9759479963
BR,Campinas,SP - VCP - Jardim Itatinga,Non Wealthy,Not Prioritized,Gross Profit UE,-4.187063338,,,-1.903735831,-4.778261457,-4.326963816,-1.525993974,-0.7291637724,3.633654601
BR,Recife,PE - REC - Zona Norte,Wealthy,High Priority,Gross Profit UE,1.10137638,1.121610437,1.221256032,1.424887192,1.745238116,2.209120848,2.489832522,2.58339957,1.635154207
MX,Nuevo Laredo,Nlar_centro,Non Wealthy,Prioritized,Gross Profit UE,3.044548429,3.303390692,3.414495085,3.817007631,4.0988888,4.346606614,4.545322434,4.884260802,4.796048289
BR,Grande São Paulo,SP - GRU - Centro,Non Wealthy,Not Prioritized,Gross Profit UE,-3.483348415,-3.545169492,-3.048567439,-3.430452661,-2.882987306,-2.233161844,-1.503528949,-2.0717683,-1.670097075
MX,Monterrey,Mitras Centro,Wealthy,Prioritized,Retail SST > SS CVR,0.8940103123,0.8966624908,0.90040755,0.9073615343,0.8992550213,0.9005358535,0.9145187194,0.9254512979,0.9259226556
CO,Valledupar,San Jorge,Non Wealthy,Prioritized,Gross Profit UE,0.7618092351,0.7938269947,0.5792524961,0.2051179185,1.017769965,1.803065288,1.846276375,1.753843208,1.320085559
AR,Cordoba,General Paz,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8726243967,0.8746260649,0.882542523,0.8915747811,0.8997130431,0.8983913271,0.8977694587,0.8923059136,0.883807912
MX,Piedras Negras,PDN_Piedras_Negras,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8323768734,0.8520007965,0.860953377,0.8646717879,0.8559341927,0.8397430423,0.8469411836,0.8598051583,0.8569046272
MX,Cuernavaca,CVA-Centro,Non Wealthy,Prioritized,Gross Profit UE,0.8844625159,0.8269869073,0.7107280725,1.04968233,1.593082731,1.840607462,2.31017397,2.694098975,2.79064999
PE,Trujillo,Centro Trujillo,Non Wealthy,High Priority,Retail SST > SS CVR,0.893896607,0.9007633342,0.9050090229,0.9015525806,0.8941551143,0.8871576486,0.8951025088,0.8984515862,0.9023887379
